spine;title;img;director;country;year;link
329;Lacombe, Lucien;https://s3.amazonaws.com/criterion-production/films/fffbcfff515d0c20e1b3b0f9dcf6c098/kEW0iP8oUJpybEDD6J9rP3bPjSYdAf_thumbnail.jpg;Louis Malle;France;1974;https://www.criterion.com/films/776-lacombe-lucien
330;Au revoir les enfants;https://s3.amazonaws.com/criterion-production/films/ef0efc13c424e4fab6dc50a43dac4ed7/QvHxIlkd6X09v1giwAZb3VfhbXkunF_thumbnail.jpg;Louis Malle;France;1987;https://www.criterion.com/films/549-au-revoir-les-enfants
331;Late Spring;https://s3.amazonaws.com/criterion-production/films/b36c368d289d0dead068cd8a35524d59/75M2sRH7tFJjp4gxf1QNvLDp3qA8CS_thumbnail.jpg;Yasujiro Ozu;Japan;1949;https://www.criterion.com/films/298-late-spring
401;Night on Earth;https://s3.amazonaws.com/criterion-production/films/300f04cc44f51c1d1b81f577e32bba58/elypGlAsVgJgbxoAuddnPOiRlvDUf5_thumbnail.jpg;Jim Jarmusch;United States;1991;https://www.criterion.com/films/227-night-on-earth
402;The Milky Way;https://s3.amazonaws.com/criterion-production/films/02da6d0b2fd1e950fd9957183fdc7e4c/ej69g5q5pHy14hEGuprhPOTERaAEuI_thumbnail.jpg;Luis Buñuel;France;1969;https://www.criterion.com/films/832-the-milky-way
403;Cría cuervos . . .;https://s3.amazonaws.com/criterion-production/films/69a4c4ac0d7ec8b395b49e445f40f7f8/FOqxqToJ8GLTXiWaJjhUSo1Fk8kmh2_thumbnail.jpg;Carlos Saura;Spain;1976;https://www.criterion.com/films/519-cria-cuervos
404;Robinson Crusoe on Mars;https://s3.amazonaws.com/criterion-production/films/19d005b575e7136ff463024ec840613c/hap5I5lbMCQ69CG6Yw7AS5HcOcNme2_thumbnail.jpg;Byron Haskin;United States;1964;https://www.criterion.com/films/821-robinson-crusoe-on-mars
405;The Threepenny Opera;https://s3.amazonaws.com/criterion-production/films/61a18b721d7da3c80336baf91a7bd9f7/vjFC4gmkYHWrhV09dgqGRyHtLcJ5Rp_thumbnail.jpg;G. W. Pabst;Germany;1931;https://www.criterion.com/films/834-the-threepenny-opera
406;Martha Graham: Dance on Film;https://s3.amazonaws.com/criterion-production/films/85fde6e10c9b088d8feed4809ede6995/ZXZHb9g0k9jNqHuCOOFh00ggApkwZq_thumbnail.jpg;Nathan Kroll;United States;1959;https://www.criterion.com/films/835-martha-graham-dance-on-film
407;Mala Noche;https://s3.amazonaws.com/criterion-production/films/f02f7508220639e063310b7ce6cdeb17/SJB8Gpe59wXrp6mPEg2abzw31HI6jk_thumbnail.jpg;Gus Van Sant;United States;1985;https://www.criterion.com/films/253-mala-noche
